timestamp;all_memory;free_memory;memory_used%;cpu_used%;disk_used%;load_average_1m
2025-10-18_12-08-02;3.8Gi;128Mi;73.6842%;6%;48G;0.75,
2025-10-18_12-08-12;3.8Gi;139Mi;73.6842%;4.4%;48G;0.73,
2025-10-18_12-08-22;3.8Gi;174Mi;71.0526%;4.4%;48G;0.70,
2025-10-18_12-08-33;3.8Gi;167Mi;71.0526%;15.5%;48G;0.68,
2025-10-18_12-08-43;3.8Gi;148Mi;73.6842%;18.2%;48G;0.67,
2025-10-18_12-08-53;3.8Gi;151Mi;71.0526%;6.5%;48G;0.72,
2025-10-18_12-09-03;3.8Gi;142Mi;71.0526%;11.3%;48G;0.71,
2025-10-18_12-09-14;3.8Gi;137Mi;71.0526%;6.6%;48G;0.69,
2025-10-18_12-09-24;3.8Gi;131Mi;71.0526%;8.8%;48G;0.70,
2025-10-18_12-09-34;3.8Gi;152Mi;73.6842%;16.3%;48G;0.77,
2025-10-18_12-09-45;3.8Gi;148Mi;73.6842%;4.4%;48G;0.75,
2025-10-18_12-09-55;3.8Gi;146Mi;73.6842%;2.2%;48G;0.78,
2025-10-18_12-10-05;3.8Gi;126Mi;73.6842%;15.5%;48G;0.75,
2025-10-18_12-10-15;3.8Gi;208Mi;71.0526%;19.1%;48G;0.72,
2025-10-18_12-10-26;3.8Gi;202Mi;71.0526%;2.3%;48G;0.73,
2025-10-18_12-10-36;3.8Gi;180Mi;71.0526%;50%;48G;0.73,
2025-10-18_12-10-46;3.8Gi;154Mi;73.6842%;27.9%;48G;0.72,
2025-10-18_12-10-56;3.8Gi;167Mi;71.0526%;4.2%;48G;0.69,
2025-10-18_12-11-07;3.8Gi;158Mi;73.6842%;48.8%;48G;0.74,
2025-10-18_12-11-17;3.8Gi;144Mi;73.6842%;9%;48G;0.75,
2025-10-18_12-11-27;3.8Gi;152Mi;71.0526%;4.4%;48G;0.76,
2025-10-18_12-11-38;3.8Gi;153Mi;71.0526%;26.9%;48G;0.73,
2025-10-18_12-11-48;3.8Gi;133Mi;71.0526%;11.3%;48G;0.81,
2025-10-18_12-11-58;3.8Gi;133Mi;71.0526%;24.4%;48G;0.78,
2025-10-18_12-12-08;3.8Gi;123Mi;71.0526%;31%;48G;0.82,
2025-10-18_12-12-19;3.8Gi;120Mi;73.6842%;42.5%;48G;0.79,
2025-10-18_12-12-29;3.8Gi;137Mi;71.0526%;8.7%;48G;0.77,
2025-10-18_12-12-39;3.8Gi;146Mi;71.0526%;15.6%;48G;0.86,
2025-10-18_12-12-49;3.8Gi;137Mi;71.0526%;11.9%;48G;0.88,
2025-10-18_12-13-00;3.8Gi;144Mi;71.0526%;15.9%;48G;0.85,
2025-10-18_12-13-10;3.8Gi;132Mi;71.0526%;19%;48G;0.82,
2025-10-18_12-13-20;3.8Gi;119Mi;71.0526%;6.8%;48G;0.79,
2025-10-18_12-13-31;3.8Gi;127Mi;71.0526%;32.6%;48G;0.82,
2025-10-18_12-13-41;3.8Gi;133Mi;73.6842%;11.1%;48G;0.92,
2025-10-18_12-13-51;3.8Gi;122Mi;73.6842%;24.4%;48G;0.89,
2025-10-18_12-14-01;3.8Gi;143Mi;71.0526%;11.3%;48G;0.91,
2025-10-18_12-14-12;3.8Gi;138Mi;71.0526%;11.3%;48G;0.88,
2025-10-18_12-14-22;3.8Gi;171Mi;71.0526%;8.6%;48G;0.89,
2025-10-18_12-14-32;3.8Gi;171Mi;71.0526%;47.7%;48G;0.86,
2025-10-18_12-14-42;3.8Gi;183Mi;71.0526%;6.8%;48G;0.84,
2025-10-18_12-14-53;3.8Gi;158Mi;71.0526%;11.7%;48G;0.82,
2025-10-18_12-15-03;3.8Gi;167Mi;71.0526%;7%;48G;0.79,
